date, pm25, pm10, o3, no2, co
2022/7/25, , 10, 26, , 
2022/7/26, , 5, 27, , 
2022/7/27, , 5, 29, , 
2022/7/28, , 7, 35, 1, 1
2022/7/29, , 7, 32, 1, 1
2022/7/30, , 7, 33, 1, 1
2022/7/31, , 7, 29, , 
2022/8/1, , 7, 31, , 
2022/8/2, , 9, 37, 1, 1
2022/8/3, , 15, 50, 3, 1
2022/8/4, , 16, 27, , 1
2022/8/5, , 7, 27, , 1
2022/8/6, , 7, 26, , 1
2022/8/7, , 8, 24, 1, 1
2022/8/8, , 9, 27, 1, 1
2022/8/9, , 7, 33, 2, 1
2022/8/10, , 11, 39, 2, 1
2022/8/11, , 12, 40, 3, 1
2022/8/12, , 13, 48, 3, 1
2022/8/13, , 13, 41, 2, 1
2022/8/14, , 14, 40, 1, 1
2022/8/15, , 17, 50, 2, 1
2022/8/16, , 13, 53, 1, 1
2022/8/17, , 13, 53, 2, 2
2022/8/18, , 17, 36, 1, 1
2022/8/19, , 13, 29, 1, 1
2022/8/20, , 8, 36, 1, 1
2022/8/21, , 9, 32, 1, 1
2022/8/22, , 10, 34, 3, 1
2022/8/23, , 11, 36, 2, 1
2022/8/24, , 5, 32, 2, 1
2022/8/26, , 13, 39, , 1
2022/8/27, , 7, 32, , 1
2022/8/28, , 7, 21, , 1
2022/8/29, , 3, 24, , 1
2022/8/30, , 5, 25, 1, 1
2022/8/31, , 6, 29, 1, 1
2022/9/1, , 7, 29, 1, 1
2022/9/2, , 7, 29, , 1
2022/9/3, , 5, 32, , 1
2022/9/4, , 6, 29, 1, 
2022/9/5, , 6, 28, 1, 1
2022/9/6, , 5, 36, 2, 1
2022/9/7, , 12, 33, 1, 1
2022/9/8, , 14, 31, 1, 1
2022/9/9, , 10, 29, 1, 1
2022/9/10, , 6, 25, 1, 1
2022/9/11, , 4, 30, 2, 1
2022/9/12, , 8, 31, 1, 1
2022/9/13, , 8, 35, , 1
2022/9/14, , 6, 30, , 1
2022/9/15, , 9, 25, , 1
2022/9/16, , 8, 26, , 
2022/9/17, , 7, 26, , 1
2022/9/18, , 7, 24, , 
2022/9/19, , 5, 23, , 1
2022/9/20, , 6, 26, 3, 
2022/9/21, , 7, 29, 3, 1
2022/9/22, , 9, 28, 3, 1
2022/9/23, , 8, 30, 3, 1
2022/9/24, , 13, 29, 2, 1
2022/9/25, , 11, 23, 1, 1
2022/9/26, , 6, 20, 2, 1
2022/9/27, , 6, 22, 1, 1
2022/9/28, , 5, 22, 1, 
2022/9/29, , 6, 20, 2, 1
2022/9/30, , 7, 21, 2, 1
2022/4/1, , 9, 36, , 1
2022/4/2, , 6, 35, , 1
2022/4/3, , 9, 35, , 1
2022/4/4, , 8, 34, , 1
2022/4/5, , 9, 30, 2, 1
2022/4/6, , 10, 33, 1, 1
2022/4/7, , 5, 36, , 1
2022/4/8, , 10, 38, , 1
2022/4/9, , 16, 36, , 1
2022/4/10, , 15, 36, , 1
2022/4/11, , 12, 37, 3, 1
2022/4/12, , 12, 33, 5, 1
2022/4/13, , 19, 31, 1, 1
2022/4/14, , 8, 31, 1, 1
2022/4/15, , 6, 34, 1, 1
2022/4/16, , 7, 39, 2, 1
2022/4/17, , 8, 35, 3, 1
2022/4/18, , 9, 36, 4, 1
2022/4/19, , 10, 37, 2, 1
2022/4/20, , 9, 36, 2, 1
2022/4/21, , 12, 35, 1, 7
2022/4/22, , 9, 35, 1, 1
2022/4/23, , 8, 33, 1, 1
2022/4/24, , 9, 35, 1, 1
2022/4/25, , 8, 39, 1, 1
2022/4/26, , 8, 33, 3, 1
2022/4/29, , 8, 38, 1, 1
2022/4/30, , 9, 36, 1, 1
2022/5/1, , 8, 39, 1, 1
2022/5/2, , 8, 34, , 1
2022/5/3, , 11, 35, 3, 1
2022/5/4, , 13, 35, , 1
2022/5/5, , 9, 32, , 1
2022/5/6, , 9, 38, , 1
2022/5/7, , 10, 33, 1, 1
2022/5/8, , 11, 33, 1, 1
2022/5/9, , 8, 41, 2, 1
2022/5/10, , 14, 29, 1, 1
2022/5/11, , 8, 32, , 1
2022/5/12, , 9, 34, , 1
2022/5/13, , 10, 35, , 1
2022/5/14, , 12, 37, , 1
2022/5/15, , 10, 30, 3, 1
2022/5/16, , 9, 32, 4, 1
2022/5/17, , 12, 32, 2, 1
2022/5/18, , 10, 41, 2, 1
2022/5/19, , 15, 35, 1, 1
2022/5/20, , 6, 40, , 1
2022/5/21, , 5, 31, , 1
2022/5/22, , 6, 35, 2, 
2022/5/23, , 7, 35, 1, 1
2022/5/24, , 10, 32, , 
2022/5/25, , 7, 32, , 1
2022/5/26, , 9, 34, , 1
2022/5/27, , 7, 32, , 1
2022/5/28, , 9, 31, 1, 1
2022/5/29, , 10, 27, 1, 1
2022/5/30, , 8, 31, 1, 1
2022/5/31, , 4, 35, 1, 1
2022/6/1, , 6, 29, , 
2022/6/2, , 7, 31, , 1
2022/6/3, , 9, 31, , 1
2022/6/4, , 7, 33, 2, 1
2022/6/5, , 7, 29, 2, 1
2022/6/6, , 9, 33, , 
2022/6/7, , 5, 36, , 
2022/6/8, , 6, 35, 2, 1
2022/6/9, , 8, 33, , 1
2022/6/10, , 7, 34, , 1
2022/6/11, , 8, 31, , 1
2022/6/12, , 8, 32, , 
2022/6/13, , 7, 29, , 
2022/6/14, , 7, 28, , 1
2022/6/15, , 7, 36, , 
2022/6/16, , 7, 40, , 1
2022/6/17, , 8, 37, 1, 1
2022/6/18, , 7, 30, , 1
2022/6/19, , 6, 29, , 
2022/6/20, , 7, 28, , 
2022/6/21, , 7, 25, , 1
2022/6/22, , 6, 28, 1, 1
2022/6/23, , 8, 48, 2, 1
2022/6/24, , 9, 42, 2, 1
2022/6/25, , 12, 44, 1, 1
2022/6/26, , 12, 47, 1, 1
2022/6/27, , 13, 34, , 1
2022/6/28, , 6, 39, 2, 1
2022/6/29, , 6, 35, 1, 1
2022/6/30, , 6, 34, 1, 1
2022/1/3, , 12, 28, 1, 1
2022/1/4, , 5, 26, , 1
2022/1/5, , 7, 27, 2, 1
2022/1/6, , 9, 18, 4, 1
2022/1/7, , 10, 28, 1, 1
2022/1/8, , 7, 22, 2, 1
2022/1/9, , 11, 24, 4, 2
2022/1/10, , 18, 18, 4, 2
2022/1/11, , 15, 26, 2, 1
2022/1/12, , 8, 30, , 1
2022/1/13, , 9, 32, , 1
2022/1/14, , 16, 22, 2, 1
2022/1/15, , 16, 34, 2, 1
2022/1/16, , 10, 35, , 1
2022/1/17, , 14, 26, 1, 1
2022/1/18, , 10, 34, 2, 1
2022/1/19, , 7, 32, , 1
2022/1/20, , 12, 29, 1, 1
2022/1/21, , 10, 26, 3, 1
2022/1/22, , 7, 26, , 1
2022/1/23, , 6, 29, , 1
2022/1/24, , 7, 29, 1, 1
2022/1/25, , 9, 28, 1, 1
2022/1/26, , 11, 33, , 1
2022/1/27, , 11, 31, , 1
2022/1/28, , 12, 35, , 1
2022/1/29, , 13, 33, , 1
2022/1/30, , 21, 26, 7, 1
2022/1/31, , 15, 31, 1, 1
2022/2/1, , 10, 31, , 1
2022/2/2, , 11, 25, 3, 1
2022/2/3, , 9, 35, 1, 1
2022/2/4, , 6, 32, , 1
2022/2/5, , 10, 33, , 1
2022/2/6, , 4, 32, , 1
2022/2/7, , 17, 31, , 1
2022/2/8, , 12, 14, 1, 1
2022/2/9, , 9, 30, 1, 1
2022/2/10, , 11, 33, 1, 1
2022/2/11, , 11, 29, 2, 1
2022/2/12, , 11, 25, 2, 1
2022/2/13, , 8, 27, 2, 1
2022/2/14, , 12, 32, 1, 1
2022/2/15, , 9, 28, 2, 1
2022/2/16, , 9, 34, , 1
2022/2/17, , 10, 36, , 1
2022/2/18, , 12, 32, , 1
2022/2/19, , 10, 30, , 1
2022/2/20, , 7, 35, , 1
2022/2/21, , 11, 35, 1, 1
2022/2/22, , 12, 34, , 1
2022/2/23, , 17, 31, 2, 1
2022/2/24, , 9, 34, , 1
2022/2/25, , 11, 29, 1, 1
2022/2/26, , 8, 29, 2, 1
2022/2/27, , 7, 27, 4, 1
2022/2/28, , 8, 23, 4, 1
2022/3/1, , 14, 29, 2, 1
2022/3/2, , 10, 24, 2, 1
2022/3/3, , 5, 28, 5, 1
2022/3/4, , 8, 30, 4, 1
2022/3/5, , 7, 28, 1, 1
2022/3/6, , 9, 30, 3, 1
2022/3/7, , 7, 31, 3, 1
2022/3/8, , 9, 27, 3, 1
2022/3/9, , 7, 30, 2, 1
2022/3/10, , 9, 34, 1, 1
2022/3/11, , 13, 33, 2, 2
2022/3/12, , 15, 37, 2, 1
2022/3/13, , 17, 36, 4, 2
2022/3/14, , 26, 24, 5, 2
2022/3/15, , 16, 28, 3, 1
2022/3/16, , 4, 29, 3, 1
2022/3/17, , 18, 32, 1, 1
2022/3/18, , 14, 29, 2, 1
2022/3/19, , 9, 41, 2, 1
2022/3/20, , 13, 41, 3, 2
2022/3/21, , 22, 32, 9, 2
2022/3/22, , 27, 40, 6, 2
2022/3/23, , 25, 43, 6, 1
2022/3/24, , 27, 40, 2, 1
2022/3/25, , 18, 32, , 1
2022/3/26, , 8, 31, 2, 1
2022/3/27, , 10, 40, , 1
2022/3/28, , 13, 34, 1, 1
2022/3/29, , 10, 29, 2, 1
2022/3/30, , 7, 32, 3, 1
2022/3/31, , 7, 36, 2, 1
2021/10/1, , 8, 23, 3, 1
2021/10/2, , 9, 31, 3, 1
2021/10/3, , 12, 24, 2, 1
2021/10/4, , 8, 25, 3, 1
2021/10/5, , 6, 23, 3, 1
2021/10/6, , 9, 20, 6, 1
2021/10/7, , 9, 24, 3, 1
2021/10/8, , 8, 29, 3, 1
2021/10/9, , 20, 29, 2, 2
2021/10/10, , 14, 30, , 1
2021/10/11, , 9, 30, , 1
2021/10/12, , 6, 30, 1, 1
2021/10/13, , 7, 28, , 1
2021/10/14, , 8, 30, , 1
2021/10/15, , 13, 29, , 1
2021/10/16, , 10, 28, , 1
2021/10/17, , 8, 22, 5, 1
2021/10/18, , 7, 16, 5, 1
2021/10/19, , 12, 32, 1, 1
2021/10/20, , 9, 31, 1, 1
2021/10/21, , 10, 32, , 1
2021/10/22, , 11, 28, , 1
2021/10/23, , 15, 27, 2, 1
2021/10/24, , 10, 16, 4, 1
2021/10/25, , 11, 25, 2, 1
2021/10/26, , 9, 26, 1, 1
2021/10/27, , 13, 25, 3, 1
2021/10/28, , 10, 15, 6, 1
2021/10/29, , 13, 22, 5, 2
2021/10/30, , 19, 22, 2, 1
2021/10/31, , 14, 22, 3, 1
2021/11/1, , 14, 12, 8, 1
2021/11/2, , 12, 22, 7, 1
2021/11/3, , 11, 24, 3, 1
2021/11/4, , 8, 28, , 1
2021/11/5, , 9, 26, , 1
2021/11/6, , 11, 27, , 1
2021/11/7, , 7, 21, 2, 1
2021/11/8, , 6, 20, 3, 1
2021/11/9, , 11, 16, 3, 1
2021/11/10, , 10, 24, 1, 1
2021/11/11, , 7, 19, 3, 1
2021/11/12, , 8, 18, 3, 1
2021/11/13, , 19, 22, 1, 1
2021/11/14, , 9, 20, 4, 1
2021/11/15, , 14, 20, 2, 1
2021/11/16, , 14, 26, 2, 2
2021/11/17, , 8, 27, , 
2021/11/18, , 9, 28, , 
2021/11/19, , 12, 31, , 
2021/11/20, , 10, 29, , 
2021/11/21, , 6, 28, 4, 
2021/11/22, , 7, 30, 1, 
2021/11/23, , 10, 30, , 
2021/11/24, , 5, 26, 1, 
2021/11/25, , 5, 22, 3, 
2021/11/26, , 7, 19, 1, 
2021/11/27, , 5, 20, 1, 1
2021/11/28, , 4, 19, 1, 1
2021/11/29, , 4, 26, 1, 1
2021/11/30, , 6, 23, 2, 1
2021/12/1, , 4, 28, , 1
2021/12/2, , 8, 25, 2, 1
2021/12/3, , 7, 24, 1, 1
2021/12/4, , 7, 23, , 1
2021/12/5, , 4, 26, 3, 1
2021/12/6, , 6, 25, 2, 1
2021/12/7, , 9, 19, 2, 1
2021/12/8, , 16, 15, 5, 2
2021/12/9, , 17, 8, 7, 2
2021/12/10, , 14, 6, 5, 2
2021/12/11, , 8, 12, 4, 2
2021/12/12, , 7, 15, 4, 1
2021/12/13, , 7, 25, 3, 1
2021/12/14, , 5, 25, 1, 1
2021/12/15, , 11, 25, 1, 1
2021/12/16, , 15, 21, 1, 1
2021/12/17, , 9, 29, , 1
2021/12/18, , 5, 29, , 1
2021/12/19, , 8, 24, 2, 1
2021/12/20, , 8, 13, 9, 1
2021/12/21, , 9, 17, 6, 1
2021/12/22, , 10, 14, 7, 1
2021/12/23, , 7, 30, 1, 1
2021/12/24, , 6, 27, 1, 1
2021/12/25, , 8, 21, 3, 1
2021/12/26, , 8, 25, 2, 1
2021/12/27, , 9, 16, 4, 3
2021/12/28, , 27, 8, 6, 3
2021/12/29, , 33, 19, 3, 1
2021/12/30, , 10, 24, , 1
2021/12/31, , 3, 23, 1, 1
2022/1/1, , 9, 28, 2, 1
2022/1/2, , 8, 29, , 1
2021/7/1, , 9, 23, 1, 1
2021/7/2, , 9, 28, 1, 1
2021/7/3, , 11, 33, , 1
2021/7/4, , 8, 32, 1, 1
2021/7/5, , 13, 32, 1, 1
2021/7/6, , 12, 32, 1, 1
2021/7/7, , 11, 34, 2, 1
2021/7/8, , 11, 33, 1, 1
2021/7/9, , 10, 27, , 1
2021/7/10, , 10, 29, , 1
2021/7/11, , 8, 38, 1, 1
2021/7/12, , 13, 44, 1, 1
2021/7/13, , 15, 48, 2, 1
2021/7/14, , 21, 48, 1, 1
2021/7/15, , 18, 40, , 1
2021/7/16, , 16, 27, , 1
2021/7/17, , 11, 26, , 1
2021/7/18, , 11, 27, , 1
2021/7/19, , 11, 26, , 1
2021/7/20, , 9, 26, , 1
2021/7/21, , 10, 32, , 1
2021/7/22, , 13, 33, , 1
2021/7/23, , 14, 42, 1, 1
2021/7/24, , 16, 41, 1, 1
2021/7/25, , 16, 57, 2, 1
2021/7/26, , 22, 39, 3, 1
2021/7/27, , 20, 40, 1, 1
2021/7/28, , 11, 27, , 1
2021/7/29, , 8, 36, , 1
2021/7/30, , 11, 28, 1, 1
2021/7/31, , 12, 29, , 1
2021/8/1, , 8, 26, , 1
2021/8/2, , 10, 31, , 1
2021/8/3, , 8, 33, , 1
2021/8/4, , 7, 38, 2, 1
2021/8/5, , 10, 36, , 1
2021/8/6, , 12, 29, 1, 1
2021/8/7, , 11, 29, , 1
2021/8/8, , 10, 30, 1, 1
2021/8/9, , 10, 29, 1, 1
2021/8/10, , 7, 32, , 1
2021/8/11, , 7, 43, 2, 1
2021/8/12, , 10, 38, 1, 1
2021/8/13, , 12, 27, , 1
2021/8/14, , 12, 30, , 1
2021/8/15, , 11, 29, , 1
2021/8/16, , 5, 31, , 1
2021/8/17, , 8, 31, , 1
2021/8/18, , 8, 32, , 1
2021/8/19, , 8, 30, , 1
2021/8/20, , 9, 32, , 1
2021/8/21, , 7, 32, 2, 1
2021/8/22, , 9, 29, 2, 1
2021/8/23, , 9, 32, 2, 1
2021/8/24, , 11, 26, , 1
2021/8/25, , 7, 20, , 1
2021/8/26, , 5, 22, , 1
2021/8/27, , 6, 13, , 1
2021/8/28, , 4, 24, , 2
2021/8/29, , 11, 28, , 1
2021/8/30, , 10, 27, 1, 1
2021/8/31, , 10, 29, 1, 1
2021/9/1, , 9, 34, 2, 1
2021/9/2, , 11, 31, , 1
2021/9/3, , 13, 32, 1, 1
2021/9/4, , 7, 30, 2, 1
2021/9/5, , 5, 30, 3, 2
2021/9/6, , 10, 35, 1, 1
2021/9/7, , 7, 41, 2, 2
2021/9/8, , 15, 46, 4, 2
2021/9/9, , 25, 43, 4, 2
2021/9/10, , 21, 33, 1, 2
2021/9/11, , 9, 32, , 1
2021/9/12, , 6, 31, , 1
2021/9/13, , 10, 30, 2, 1
2021/9/14, , 10, 29, 3, 1
2021/9/15, , 8, 27, 1, 1
2021/9/16, , 6, 18, , 1
2021/9/17, , 4, 23, , 1
2021/9/18, , 7, 25, , 1
2021/9/19, , 6, 28, , 1
2021/9/20, , 9, 25, 1, 1
2021/9/21, , 10, 29, , 1
2021/9/22, , 14, 33, , 1
2021/9/23, , 10, 30, , 1
2021/9/24, , 13, 29, , 1
2021/9/25, , 11, 26, 3, 1
2021/9/26, , 10, 25, 2, 1
2021/9/27, , 13, 32, 1, 1
2021/9/28, , 9, 25, 5, 1
2021/9/29, , 9, 26, 1, 1
2021/9/30, , 6, 25, 3, 1
2021/4/1, , 7, 33, 1, 1
2021/4/2, , 8, 38, , 1
2021/4/3, , 5, 36, , 1
2021/4/4, , 11, 35, , 1
2021/4/5, , 12, 32, , 1
2021/4/6, , 15, 32, , 1
2021/4/7, , 9, 35, , 1
2021/4/8, , 9, 35, 1, 1
2021/4/9, , 11, 33, , 1
2021/4/10, , 10, 30, 3, 1
2021/4/11, , 11, 37, , 1
2021/4/12, , 6, 34, , 1
2021/4/13, , 8, 38, 1, 1
2021/4/14, , 7, 35, 1, 1
2021/4/15, , 7, 34, 1, 1
2021/4/16, , 8, 33, 1, 1
2021/4/17, , 11, 32, 3, 1
2021/4/18, , 14, 40, 4, 1
2021/4/19, , 15, 37, 3, 1
2021/4/20, , 14, 38, 1, 1
2021/4/21, , 22, 36, , 1
2021/4/22, , 12, 36, , 1
2021/4/23, , 11, 33, , 1
2021/4/24, , 8, 34, , 1
2021/4/25, , 7, 36, , 1
2021/4/26, , 5, 35, 2, 1
2021/4/27, , 6, 38, 4, 1
2021/4/28, , 11, 42, 2, 1
2021/4/29, , 15, 38, 1, 1
2021/4/30, , 9, 37, 1, 1
2021/5/1, , 7, 37, 2, 1
2021/5/2, , 9, 35, 1, 1
2021/5/3, , 7, 36, 2, 1
2021/5/4, , 6, 34, , 1
2021/5/5, , 5, 27, , 1
2021/5/6, , 5, 33, , 1
2021/5/7, , 6, 36, , 1
2021/5/8, , 10, 36, 2, 1
2021/5/9, , 10, 33, 3, 1
2021/5/10, , 16, 34, , 1
2021/5/11, , 8, 22, 1, 1
2021/5/12, , 8, 28, 1, 1
2021/5/13, , 9, 36, 2, 1
2021/5/14, , 11, 30, , 1
2021/5/15, , 7, 34, 2, 1
2021/5/16, , 7, 36, 2, 1
2021/5/17, , 8, 37, 1, 1
2021/5/18, , 8, 38, 1, 1
2021/5/19, , 7, 37, , 1
2021/5/20, , 9, 32, 2, 1
2021/5/21, , 7, 31, 1, 1
2021/5/22, , 8, 33, , 1
2021/5/23, , 9, 38, 1, 1
2021/5/24, , 10, 29, 2, 1
2021/5/25, , 8, 33, 1, 1
2021/5/26, , 6, 29, 1, 1
2021/5/27, , 7, 32, , 1
2021/5/28, , 10, 32, , 1
2021/5/29, , 12, 33, 2, 1
2021/5/30, , 12, 34, 1, 1
2021/5/31, , 13, 32, 1, 1
2021/6/1, , 11, 38, 1, 1
2021/6/2, , 13, 44, 1, 1
2021/6/3, , 18, 38, 3, 1
2021/6/4, , 17, 40, 1, 1
2021/6/5, , 14, 42, 2, 1
2021/6/6, , 16, 40, 1, 1
2021/6/7, , 11, 34, , 1
2021/6/8, , 9, 43, , 1
2021/6/9, , 10, 47, 1, 1
2021/6/10, , 12, 34, 1, 1
2021/6/11, , 11, 31, , 1
2021/6/12, , 13, 28, , 1
2021/6/13, , 14, 44, , 1
2021/6/14, , 12, 29, , 1
2021/6/15, , 9, 35, 1, 1
2021/6/16, , 13, 52, 2, 1
2021/6/17, , 20, 58, 3, 1
2021/6/18, , 24, 53, 1, 1
2021/6/19, , 17, 43, 1, 1
2021/6/20, , 12, 35, , 1
2021/6/21, , 6, 29, , 1
2021/6/22, , 14, 23, , 1
2021/6/23, , 10, 33, , 1
2021/6/24, , 13, 33, , 1
2021/6/25, , 10, 34, , 1
2021/6/26, , 12, 32, , 
2021/6/27, , 6, 32, , 
2021/6/28, , 8, 41, 3, 1
2021/6/29, , 12, 30, 1, 1
2021/6/30, , 11, 23, , 1
2021/1/4, , 3, 16, 1, 2
2021/1/5, , 4, 15, 1, 1
2021/1/6, , 3, 12, 2, 2
2021/1/7, , 3, 9, 2, 2
2021/1/8, , 5, 16, 1, 1
2021/1/9, , 5, 17, 2, 1
2021/1/10, , 7, 25, 2, 1
2021/1/11, , 5, 29, 1, 1
2021/1/12, , 6, 28, , 1
2021/1/13, , 7, 21, 2, 2
2021/1/14, , 7, 27, 1, 1
2021/1/15, , 6, 25, 1, 1
2021/1/16, , 6, 14, 6, 2
2021/1/17, , 10, 16, 5, 2
2021/1/18, , 8, 23, 4, 1
2021/1/19, , 4, 20, 3, 1
2021/1/20, , 5, 29, 3, 1
2021/1/21, , 7, 27, 1, 1
2021/1/22, , 9, 23, 5, 1
2021/1/23, , 15, 10, 7, 2
2021/1/24, , 13, 19, 2, 1
2021/1/25, , 6, 26, 1, 1
2021/1/26, , 5, 20, 4, 1
2021/1/27, , 7, 28, , 1
2021/1/28, , 4, 24, 2, 1
2021/1/29, , 5, 23, 1, 1
2021/1/30, , 6, 28, 1, 1
2021/1/31, , 7, 23, 4, 1
2021/2/1, , 8, 24, 4, 2
2021/2/2, , 15, 23, 2, 2
2021/2/3, , 9, 20, 4, 1
2021/2/4, , 9, 23, 3, 1
2021/2/5, , 8, 29, , 1
2021/2/6, , 7, 32, , 1
2021/2/7, , 5, 32, , 1
2021/2/8, , 6, 32, , 1
2021/2/9, , 6, 30, 1, 1
2021/2/10, , 7, 30, 1, 1
2021/2/11, , 7, 31, 1, 1
2021/2/12, , 7, 29, 3, 2
2021/2/13, , 11, 27, 4, 2
2021/2/14, , 11, 31, 4, 1
2021/2/15, , 8, 22, 5, 1
2021/2/16, , 8, 13, 8, 3
2021/2/17, , 11, 17, 5, 3
2021/2/18, , 20, 26, 3, 1
2021/2/19, , 14, 17, 6, 2
2021/2/20, , 11, 14, 7, 2
2021/2/21, , 19, 14, 12, 2
2021/2/22, , 20, 15, 7, 2
2021/2/23, , 28, 25, 3, 1
2021/2/24, , 19, 28, 3, 1
2021/2/25, , 22, 32, , 1
2021/2/26, , 13, 26, 1, 1
2021/2/27, , 10, 30, , 1
2021/2/28, , 12, 25, 2, 1
2021/3/1, , 8, 26, 1, 1
2021/3/2, , 4, 15, 5, 1
2021/3/3, , 6, 31, , 1
2021/3/4, , 7, 33, 2, 1
2021/3/5, , 8, 33, , 1
2021/3/6, , 8, 35, , 1
2021/3/7, , 10, 32, 2, 1
2021/3/8, , 8, 30, 8, 1
2021/3/9, , 11, 31, 8, 1
2021/3/10, , 12, 31, 2, 1
2021/3/11, , 8, 30, 1, 1
2021/3/12, , 13, 30, 1, 1
2021/3/13, , 6, 31, , 1
2021/3/14, , 9, 30, 1, 1
2021/3/15, , 8, 29, 1, 1
2021/3/16, , 6, 28, 4, 1
2021/3/17, , 7, 32, 1, 1
2021/3/18, , 6, 28, 1, 1
2021/3/19, , 6, 34, 1, 1
2021/3/20, , 6, 36, , 1
2021/3/21, , 8, 32, 1, 1
2021/3/22, , 10, 30, 1, 1
2021/3/23, , 9, 31, 1, 1
2021/3/24, , 13, 37, 1, 1
2021/3/25, , 12, 35, 3, 1
2021/3/26, , 12, 35, 2, 1
2021/3/27, , 10, 30, 1, 1
2021/3/28, , 12, 30, 1, 1
2021/3/29, , 11, 29, 1, 1
2021/3/30, , 9, 44, 2, 1
2021/3/31, , 13, 28, 1, 1
2020/10/1, , 28, 25, 2, 1
2020/10/2, , 47, 25, 1, 1
2020/10/3, , 23, 19, 2, 1
2020/10/4, , 11, 27, 3, 1
2020/10/5, , 10, 17, 3, 1
2020/10/6, , 7, 24, 1, 1
2020/10/7, , 8, 20, 3, 1
2020/10/8, , 9, 27, 1, 1
2020/10/9, , 9, 29, 1, 1
2020/10/10, , 5, 26, 2, 1
2020/10/11, , 7, 22, 5, 1
2020/10/12, , 9, 20, 6, 1
2020/10/13, , 10, 25, , 
2020/10/14, , 4, 25, 1, 
2020/10/15, , 5, 20, 3, 1
2020/10/16, , 6, 28, 1, 
2020/10/17, , 4, 27, , 1
2020/10/18, , 7, 28, 1, 1
2020/10/19, , 9, 21, 5, 1
2020/10/20, , 11, 21, 6, 1
2020/10/21, , 16, 27, 1, 1
2020/10/22, , 11, 22, 2, 1
2020/10/23, , 10, 25, 2, 1
2020/10/24, , 11, 24, 1, 1
2020/10/25, , 6, 16, 4, 1
2020/10/26, , 8, 17, 3, 1
2020/10/27, , 10, 22, 2, 1
2020/10/28, , 10, 24, 2, 1
2020/10/29, , 8, 19, 3, 1
2020/10/30, , 7, 17, 2, 1
2020/10/31, , 7, 23, 2, 1
2020/11/1, , 10, 29, 1, 1
2020/11/2, , 7, 29, 1, 1
2020/11/3, , 14, 29, 1, 1
2020/11/4, , 10, 26, , 1
2020/11/5, , 10, 27, 1, 1
2020/11/6, , 10, 20, 2, 1
2020/11/7, , 7, 18, 3, 1
2020/11/8, , 10, 22, 2, 1
2020/11/9, , 9, 19, 1, 1
2020/11/10, , 15, 12, 2, 2
2020/11/11, , 13, 14, 2, 2
2020/11/12, , 17, 19, 3, 1
2020/11/13, , 10, 17, 4, 1
2020/11/14, , 13, 13, 4, 1
2020/11/15, , 12, 26, 1, 1
2020/11/16, , 10, 26, 1, 1
2020/11/17, , 9, 23, 2, 1
2020/11/18, , 9, 32, , 
2020/11/19, , 12, 29, 1, 
2020/11/20, , 13, 29, 2, 1
2020/11/21, , 7, 26, , 1
2020/11/22, , 13, 24, , 1
2020/11/23, , 11, 19, 3, 1
2020/11/24, , 12, 11, 5, 1
2020/11/25, , 9, 24, 4, 1
2020/11/26, , 11, 20, 4, 1
2020/11/27, , 6, 16, 3, 1
2020/11/28, , 5, 20, , 1
2020/11/29, , 3, 17, 3, 1
2020/11/30, , 6, 6, 8, 1
2020/12/1, , 13, 11, 6, 2
2020/12/2, , 15, 11, 5, 2
2020/12/3, , 20, 14, 4, 2
2020/12/4, , 16, 12, 4, 2
2020/12/5, , 18, 15, 3, 2
2020/12/6, , 15, 16, 3, 2
2020/12/7, , 16, 11, 5, 2
2020/12/8, , 17, 10, 4, 2
2020/12/9, , 19, 15, 3, 2
2020/12/10, , 16, 12, 3, 2
2020/12/11, , 14, 18, 3, 2
2020/12/12, , 14, 14, 3, 2
2020/12/13, , 11, 10, 4, 2
2020/12/14, , 9, 8, 6, 1
2020/12/15, , 8, 21, 6, 1
2020/12/16, , 9, 21, 5, 1
2020/12/17, , 9, 18, 3, 1
2020/12/18, , 10, 10, 5, 1
2020/12/19, , 8, 7, 6, 2
2020/12/20, , 11, 17, 5, 1
2020/12/21, , 11, 27, 3, 1
2020/12/22, , 7, 23, 6, 1
2020/12/23, , 10, 22, 3, 1
2020/12/24, , 7, 27, , 1
2020/12/25, , 6, 22, 2, 1
2020/12/26, , 6, 24, 2, 1
2020/12/27, , 5, 21, 2, 1
2020/12/28, , 9, 10, 4, 2
2020/12/29, , 12, 20, 3, 1
2020/12/30, , 6, 21, 2, 1
2020/12/31, , 10, 18, 2, 1
2021/1/1, , 12, 14, 2, 1
2021/1/2, , 8, 19, 1, 1
2021/1/3, , 5, 16, 1, 1
2020/7/1, , 10, 30, , 1
2020/7/2, , 8, 27, , 
2020/7/3, , 7, 22, 1, 1
2020/7/4, , 7, 24, , 1
2020/7/5, , 8, 26, , 1
2020/7/6, , 11, 23, , 
2020/7/7, , 10, 24, , 1
2020/7/8, , 7, 27, , 1
2020/7/9, , 8, 24, 2, 1
2020/7/10, , 9, 25, , 
2020/7/11, , 9, 23, , 
2020/7/12, , 9, 29, , 
2020/7/13, , 9, 39, 1, 
2020/7/14, , 11, 25, , 
2020/7/15, , 8, 26, , 
2020/7/16, , 7, 31, , 1
2020/7/17, , 8, 36, 2, 1
2020/7/18, , 10, 38, 2, 1
2020/7/19, , 15, 26, , 1
2020/7/20, , 7, 27, , 1
2020/7/21, , 9, 28, , 1
