date, pm25, pm10, o3, no2, co
2016/5/5, 31, 14, 44, 3, 1
2016/5/6, 31, 15, 46, 3, 1
2016/5/7, 33, 21, 48, 3, 1
2016/5/8, 41, 20, 46, 4, 1
2016/5/9, 40, 22, 50, 3, 1
2016/5/10, 48, 22, 46, 5, 2
2016/5/11, 44, 13, 39, 3, 1
2016/5/12, 23, 15, 48, 2, 1
2016/5/13, 28, 8, 35, , 1
2016/5/14, 18, 13, 30, , 1
2016/5/15, 11, 2, 32, , 1
2016/5/16, 11, 9, 39, , 1
2016/5/17, 15, 9, 41, 1, 1
2016/5/18, 24, 16, 38, 6, 1
2016/5/19, 41, 15, 36, 5, 1
2016/5/20, 44, 11, 34, 2, 1
2016/5/21, 36, 15, 46, 3, 1
2016/5/22, 44, 12, 28, 1, 1
2016/5/23, 38, 13, 31, 2, 1
2016/5/24, 38, 14, 36, 3, 1
2016/5/25, 39, 7, 28, 3, 1
2016/5/26, 16, 8, 32, 2, 1
2016/5/27, 20, 9, 34, 2, 1
2016/5/28, 27, 15, 43, 1, 1
2016/5/29, 40, 19, 37, 1, 1
2016/5/30, 47, 17, 32, 2, 1
2016/5/31, 46, 16, 41, 2, 1
2016/6/1, 40, 18, 31, 2, 1
2016/6/2, 48, , , , 
2016/6/3, 75, , , , 
2016/6/4, 70, , , , 
2016/6/5, 36, , , , 
2016/6/7, 53, , , , 
2016/6/8, 24, , , , 
2016/6/13, 30, 12, 33, 3, 1
2016/6/14, 40, 13, 38, 3, 1
2016/6/15, 40, 9, 27, 2, 1
2016/6/16, 28, 9, 38, 2, 1
2016/6/17, 29, 9, 34, , 1
2016/6/18, 25, 13, 33, , 1
2016/6/19, 30, 12, 39, 1, 1
2016/6/20, 30, 13, 31, 1, 1
2016/6/21, 31, 14, 30, 3, 1
2016/6/22, 39, 17, 41, 3, 1
2016/6/23, 43, 17, 42, 2, 1
2016/6/24, 48, 8, 33, 1, 1
2016/6/25, 24, 8, 36, 1, 1
2016/6/26, 22, 11, 35, 1, 1
2016/6/27, 29, 10, 31, 1, 
2016/6/28, 25, 11, 35, 3, 1
2016/6/29, 29, 9, 31, 2, 1
2016/6/30, 26, 10, 25, 2, 1
2016/1/4, 26, 8, 26, 2, 1
2016/1/5, 22, 7, 17, 3, 1
2016/1/6, 25, 10, 24, 3, 1
2016/1/7, 34, 21, 15, 6, 4
2016/1/8, 57, 3, 12, , 2
2016/1/9, 10, 3, 16, , 2
2016/1/10, 9, 13, 12, 12, 2
2016/1/11, 37, 12, 13, 9, 2
2016/1/12, 42, 5, 25, 2, 1
2016/1/13, 23, 7, 22, 8, 1
2016/1/14, 26, 10, 21, 10, 1
2016/1/15, 36, 13, 25, 16, 2
2016/1/16, 48, 7, 27, 3, 1
2016/1/17, 30, 7, 23, 4, 1
2016/1/18, 24, 8, 25, 3, 2
2016/1/19, 24, 5, 30, 1, 2
2016/1/20, 20, 10, 20, 8, 3
2016/1/21, 38, 10, 21, 11, 3
2016/1/22, 36, 15, 18, 8, 4
2016/1/23, 52, 6, 20, 4, 3
2016/1/24, 22, 5, 8, 5, 2
2016/1/25, 17, 14, 27, 3, 2
2016/1/26, 29, 6, 26, 1, 2
2016/1/27, 16, 13, 31, , 1
2016/1/28, 31, 13, 31, 2, 2
2016/1/29, 27, 10, , , 
2016/1/30, 35, 8, 32, , 2
2016/1/31, 22, 10, 33, 3, 2
2016/2/1, 25, 20, 33, , 2
2016/2/2, 44, 12, 29, , 2
2016/2/3, 31, 12, 28, , 2
2016/2/4, 27, 9, 27, 4, 2
2016/2/5, 24, 7, 20, 2, 2
2016/2/6, 26, 8, 28, 3, 2
2016/2/7, 27, 7, 29, 2, 2
2016/2/8, 18, 9, 28, 2, 1
2016/2/9, 25, 9, 26, 2, 1
2016/2/10, 28, 7, 23, 2, 1
2016/2/11, 26, 6, 29, 1, 1
2016/2/12, 19, 8, 23, 4, 1
2016/2/13, 26, 12, 22, 1, 1
2016/2/14, 45, 8, 25, , 1
2016/2/15, 26, 9, 22, 6, 1
2016/2/16, 28, 7, 25, 5, 1
2016/2/17, 23, 18, 15, 7, 1
2016/2/18, 57, 17, 16, 10, 2
2016/2/19, 56, 10, 31, 3, 1
2016/2/20, 26, 11, 32, , 1
2016/2/21, 20, 10, 32, , 1
2016/2/22, 22, 13, 31, , 1
2016/2/23, 26, 11, 32, , 1
2016/2/24, 23, 8, 32, 1, 1
2016/2/25, 19, 11, 28, 2, 1
2016/2/26, 25, 11, 23, 4, 1
2016/2/27, 49, 10, 21, 3, 1
2016/2/28, 35, 9, 28, 4, 1
2016/2/29, 27, 7, 31, 4, 1
2016/3/1, 25, 8, 34, 6, 1
2016/3/2, 26, 10, 33, 6, 1
2016/3/3, 24, 8, 23, 5, 1
2016/3/4, 27, 29, , , 
2016/3/5, 95, 11, , , 
2016/3/6, 42, 7, 24, 2, 1
2016/3/7, 27, 8, 21, 5, 2
2016/3/8, 28, 12, 17, 8, 2
2016/3/9, 41, 14, 25, 5, 1
2016/3/10, 54, 9, 23, 4, 2
2016/3/11, 34, 7, 28, 1, 1
2016/3/12, 26, 9, 28, 1, 1
2016/3/13, 32, 10, 29, 2, 2
2016/3/14, 32, 8, 26, 3, 1
2016/3/15, 22, 9, 31, 5, 1
2016/3/16, 25, 9, 26, 3, 1
2016/3/17, 25, 5, 23, 1, 1
2016/3/18, 19, 9, 30, 3, 1
2016/3/19, 28, 12, , , 
2016/3/20, 36, 9, 34, 1, 1
2016/3/21, 21, 8, 30, 1, 1
2016/3/22, 22, 7, 29, 1, 1
2016/3/23, 23, 7, 29, 3, 1
